txn_date,description,amount,debit,credit,balance,direction,flags,source_file,page,line,raw_line
2025-03-24,CARD PAYMENT TO SHELL SERVICE STN,-68.42,68.42,,2184.42,debit,,sample_uk_debit_credit.pdf,2,8,"24/03/2025 CARD PAYMENT TO SHELL SERVICE STN 68.42 2,184.42"
2025-03-26,INTEREST PAID,1.37,,1.37,2185.79,credit,,sample_uk_debit_credit.pdf,2,9,"26/03/2025 INTEREST PAID 1.37 2,185.79"
2025-03-28,CARD PAYMENT TO WAITROSE 0091,-96.3,96.3,,2089.49,debit,,sample_uk_debit_credit.pdf,2,10,"28/03/2025 CARD PAYMENT TO WAITROSE 0091 96.30 2,089.49"
2025-03-31,MONTHLY ACCOUNT FEE,-5.0,5.0,,2084.49,debit,,sample_uk_debit_credit.pdf,2,11,"31/03/2025 MONTHLY ACCOUNT FEE 5.00 2,084.49"
2025-03-02,POS PURCHASE WHOLE FOODS MKT #221,-87.19,,,5033.25,debit,,sample_us_signed.pdf,1,7,"03/02/2025 POS PURCHASE WHOLE FOODS MKT #221 ($87.19) $5,033.25"
2025-03-04,ACH DEPOSIT PAYROLL ACME CORP,3200.0,,,8233.25,credit,,sample_us_signed.pdf,1,8,"03/04/2025 ACH DEPOSIT PAYROLL ACME CORP $3,200.00 $8,233.25"
2025-03-06,CHECK #1042,-1450.0,,,6783.25,debit,,sample_us_signed.pdf,1,9,"03/06/2025 CHECK #1042 ($1,450.00) $6,783.25"
2025-03-09,POS PURCHASE SHELL OIL 574,-52.88,,,6730.37,debit,,sample_us_signed.pdf,1,10,"03/09/2025 POS PURCHASE SHELL OIL 574 ($52.88) $6,730.37"
2025-03-12,ONLINE TRANSFER TO SAVINGS,-1000.0,,,5730.37,debit,,sample_us_signed.pdf,1,11,"03/12/2025 ONLINE TRANSFER TO SAVINGS ($1,000.00) $5,730.37"
2025-03-15,ATM WITHDRAWAL 5TH AVE,-200.0,,,5530.37,debit,,sample_us_signed.pdf,1,12,"03/15/2025 ATM WITHDRAWAL 5TH AVE ($200.00) $5,530.37"
2025-03-19,REFUND UNITED AIRLINES,412.6,,,5942.97,credit,,sample_us_signed.pdf,1,13,"03/19/2025 REFUND UNITED AIRLINES $412.60 $5,942.97"
2025-03-23,POS PURCHASE APPLE.COM/BILL,-9.99,,,5932.98,debit,,sample_us_signed.pdf,1,14,"03/23/2025 POS PURCHASE APPLE.COM/BILL ($9.99) $5,932.98"
2025-03-28,SERVICE CHARGE,-12.0,,,5920.98,debit,,sample_us_signed.pdf,1,15,"03/28/2025 SERVICE CHARGE ($12.00) $5,920.98"
